in_len,out_len,statics,epochs,train_s,eval_s,ok,rmse_h4,skill_h1,skill_h2,skill_h3,skill_h4
52,4,True,1,11.28,19.87,True,0.15200000256299973,-2.3352687414639024,-1.4217046260716644,-1.0821031997207973,-0.847518946409014
52,4,True,1,,,False,,,,,
52,4,True,1,,,False,,,,,
52,4,True,1,10.747,15.926,True,0.15200000256299973,-2.3352688013424876,-1.4217046260716644,-1.0821030373204548,-0.8475187876088703
52,4,True,1,10.855,20.076,True,0.1600000038743019,-2.4946976122731193,-1.533226989113432,-1.1743759909797662,-0.926616967206199
52,1,True,1,,,False,,,,,
52,1,True,1,,,False,,,,,
52,1,True,1,,,False,,,,,
52,1,True,1,,,False,,,,,
52,4,True,1,11.226,15.858,True,0.1600000038743019,-2.4946976122731193,-1.533226989113432,-1.1743759909797662,-0.926616967206199
52,4,True,1,10.893,20.481,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,11.309,16.049,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,10.91,15.974,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,,,False,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,11.126,15.614,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,10.956,15.412,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,11.207,15.57,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,10.856,16.116,True,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,,,False,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,,,False,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,4,True,1,,,False,0.16349999606609344,-2.583696448076163,-1.5956417926663464,-1.2260216350101643,-0.9708666103740415
52,16,True,1,10.74,18.07,True,0.1394999995827675,-2.0826586892568995,-1.2523220958974104,-0.9397956377078691,-0.7281970675176139
52,16,True,1,1872.339,710.016,True,0.05700000002980232,-0.11622969282499218,0.11924643303053784,0.20681469247112805,0.2575923883857123
52,16,True,1,1873.599,29.557,True,0.05700000002980232,-0.11622969282499218,0.11924643303053784,0.20681469247112805,0.2575923883857123
52,16,True,1,7504.111,734.731,True,0.05700000002980232,-0.11622969282499218,0.11924643303053784,0.20681469247112805,0.2575923883857123
52,16,True,1,10.978,16.698,True,0.1394999995827675,-2.0826586892568995,-1.2523220958974104,-0.9397956377078691,-0.7281970675176139
52,16,True,10,,,False,,,,,
52,16,True,10,40,18611.639,698.652,True,0.050999999046325684,-0.02357630587261883,0.16612297675070253,0.24307147105925386,0.29118979389058797
52,16,True,10,41,18635.786,697.352,True,0.05000000074505806,0.022405617925282617,0.1806521578046818,0.24050642127286426,0.28701701512009326
52,16,True,10,42,18775.236,702.875,True,0.050999999046325684,-0.005892503153890116,0.16707103980859017,0.23469967515747636,0.2902463659889144
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
52,16,True,50,40,,,False,,,,,
52,16,True,50,94,,,False,,,,,
52,16,True,50,673,,,False,,,,,
52,16,True,50,1899,,,False,,,,,
52,16,True,50,2100,,,False,,,,,
52,16,True,50,2149,,,False,,,,,
52,16,True,50,2230,,,False,,,,,
52,16,True,50,6013,,,False,,,,,
52,16,True,50,9595,,,False,,,,,
52,16,True,50,9898,,,False,,,,,
