run_sig,run,seed,horizon,NSE,RMSE,MAE,rMBE,skill_vs_persistence,source,trial,status,objective,hp.model.gru_layers,hp.model.gru_hidden,hp.model.gru_dropout,hp.training.lr
in26_out4_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in26_out4_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,2.0,-0.1384406539326659,0.1903136336190578,0.1523367046739496,0.0857937980852967,,gru_metrics,,,,,,,
in26_out4_ep1_bs4096_seed40_sample_spf0p5_sc5_ss42,gru_l1_in26_out4_ep1_sample_spf0p5_sc5_ss42,40.0,2.0,-2920.9574107098606,13.336812529824837,13.222616268687272,-50.94900145611197,,gru_metrics,,,,,,,
in26_out4_ep1_bs128_seed40_sample_spf0p8_sc5_ss42,gru_l1_in26_out4_ep1_sample_spf0p8_sc5_ss42,40.0,2.0,-70.52688358777525,2.172044850983086,2.0325606679231925,-7.283301664099814,,gru_metrics,,,,,,,
in52_out16_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,2.0,-1.3281006071301409,0.2629569455427802,0.2061831825657894,-0.3488395108060144,,gru_metrics,,,,,,,
in52_out16_ep50_bs4096_stat1_seed40_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep1_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,2.0,-10.519196797262367,0.6450738871931303,0.5679833261590255,-1.6642549803580848,,gru_metrics,,,,,,,
in52_out16_ep2_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,2.0,-0.1472851413992066,0.1990631343396632,0.1620377353503943,0.1123700406128133,,gru_metrics,,,,,,,
in52_out16_ep5_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,2.0,0.5657661291036766,0.1260422406942503,0.1018184497595974,-0.0154128748378602,,gru_metrics,,,,,,,
in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,2.0,0.425787107987349,0.1460363788339751,0.120410152599572,0.0017281459499934,,gru_metrics,,,,,,,
gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l1_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,2.0,0.9431950538935312,0.0406068031671385,0.0301083651455965,0.0299313503344286,,gru_metrics,,,,,,,
in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gru_l2_in52_out16_ep50_full_merged_r1_spatial_split_spf0p8_sc20_ss42,40.0,2.0,0.9573357525558596,0.035531818420735,0.0256537070006003,-0.0476019383447982,,gru_metrics,,,,,,,
gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,2.0,0.951619065422198,0.0378315704769333,0.0273145081160904,-0.0061056736888672,,gru_metrics,,,,,,,
gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l2_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,2.0,0.951619065422198,0.0378315704769333,0.0273145081160904,-0.0061056736888672,,gru_metrics,,,,,,,
gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,gru_l3_in52_out16_ep50_full_merged_spatial_split_spf0p8_sc20_ss42,40.0,2.0,0.9442242110386772,0.0405857614890324,0.0298544730974998,0.0046206350668054,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t001_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,3.0,0.936058200728375,0.0442563429476188,0.0323025426823339,-0.069381365649533,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t002_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,3.0,0.9310249412230542,0.0455834225301045,0.0336623749175629,0.0032688880998875,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t003_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,3.0,0.936058200728375,0.0442563429476188,0.0323025426823339,-0.069381365649533,,gru_metrics,,,,,,,
gru_ablation_revin_scheduler_t004_seed40_full_merged,gru_l2_in52_out16_ep50_full_merged,40.0,3.0,0.9310249412230542,0.0455834225301045,0.0336623749175629,0.0032688880998875,,gru_metrics,,,,,,,
in26_out4_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,gru_l1_in26_out4_ep1_full_merged_spatial_split_spf0p5_sc20_ss42,40.0,3.0,-0.3966339638065732,0.209488667370144,0.1695935737573359,0.1500283754715868,,gru_metrics,,,,,,,
in26_out4_ep1_bs4096_seed40_sample_spf0p5_sc5_ss42,gru_l1_in26_out4_ep1_sample_spf0p5_sc5_ss42,40.0,3.0,-2965.3344296124405,13.534084377090052,13.410571331042425,-51.28764859883911,,gru_metrics,,,,,,,
in26_out4_ep1_bs128_seed40_sample_spf0p8_sc5_ss42,gru_l1_in26_out4_ep1_sample_spf0p8_sc5_ss42,40.0,3.0,-227.99227163287543,3.905083397572145,3.798613972641064,-14.344711943167702,,gru_metrics,,,,,,,
