run_dir,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
GRU_FCOV_gru_ablation_revin_scheduler_t001_seed40_full_merged,0.9796907056242274,0.9573357525558595,0.936058200728375,0.9149074035099453,0.8944096959024139,0.8751312331239889,0.85653397616247,0.8379860324930706,0.8206365437346212,0.8045880917216457,0.7873347199257976,0.7719285119556692,0.7578872992152759,0.7448558866734356,0.7338471591204005,0.7216758550806841
GRU_FCOV_gru_ablation_revin_scheduler_t002_seed40_full_merged,0.9734052889056549,0.951619065422198,0.9310249412230542,0.9127771672350883,0.8952733510675883,0.8797734293503322,0.8638835593355085,0.8505030131040294,0.8355285721840976,0.8219428921917346,0.8096289967725854,0.7991366410871756,0.7904121003211634,0.780856401472646,0.7741162710956349,0.7618427168939582
GRU_FCOV_gru_ablation_revin_scheduler_t003_seed40_full_merged,0.9796907056242274,0.9573357525558595,0.936058200728375,0.9149074035099453,0.8944096959024139,0.8751312331239889,0.85653397616247,0.8379860324930706,0.8206365437346212,0.8045880917216457,0.7873347199257976,0.7719285119556692,0.7578872992152759,0.7448558866734356,0.7338471591204005,0.7216758550806841
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,0.9734052889056549,0.951619065422198,0.9310249412230542,0.9127771672350883,0.8952733510675883,0.8797734293503322,0.8638835593355085,0.8505030131040294,0.8355285721840976,0.8219428921917346,0.8096289967725854,0.7991366410871756,0.7904121003211634,0.780856401472646,0.7741162710956349,0.7618427168939582
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.9701911443158494,0.9431950538935312,0.9217304281455543,0.9005752199803951,0.880237928615795,0.8630002172028794,0.8488732744559839,0.8305242202798707,0.8108200916254764,0.7952224567613324,0.7825845304735375,0.7714428922447937,0.7585724765186985,0.7459543895690907,0.7332314402515592,0.7205995679049069
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.9734052889056549,0.951619065422198,0.9310249412230542,0.9127771672350883,0.8952733510675883,0.8797734293503322,0.8638835593355085,0.8505030131040294,0.8355285721840976,0.8219428921917346,0.8096289967725854,0.7991366410871756,0.7904121003211634,0.780856401472646,0.7741162710956349,0.7618427168939582
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.9734052889056549,0.951619065422198,0.9310249412230542,0.9127771672350883,0.8952733510675883,0.8797734293503322,0.8638835593355085,0.8505030131040294,0.8355285721840976,0.8219428921917346,0.8096289967725854,0.7991366410871756,0.7904121003211634,0.780856401472646,0.7741162710956349,0.7618427168939582
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.9684858172342986,0.9442242110386773,0.9239933783111911,0.9070848959210245,0.8907955306582751,0.872622071217344,0.8574176047945133,0.8428190832339206,0.8271103597270237,0.8137384872913211,0.7982961190095215,0.7849766095511281,0.7716894729741476,0.7584898616443682,0.7438386138498787,0.7346263889161824
GRU_FCOV_in26_out4_ep1_bs128_seed40_sample_spf0p8_sc5_ss42,-11.804808000253807,-70.52688358777525,-227.99227163287543,-457.9090264941416,,,,,,,,,,,,
GRU_FCOV_in26_out4_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,-0.9819832208603589,-0.1384406539326659,-0.39663396380657323,-0.9318391681691394,,,,,,,,,,,,
GRU_FCOV_in26_out4_ep1_bs4096_seed40_sample_spf0p5_sc5_ss42,-2798.9524505027985,-2920.9574107098606,-2965.3344296124405,-2953.911861706617,,,,,,,,,,,,
GRU_FCOV_in52_out16_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,-3.760258953044622,-1.3281006071301409,-1.1491440761055314,-0.9649425293825673,-0.9953481168722951,-1.2192701079771293,-1.482744771711403,-1.722796271443888,-2.0228914073776765,-2.1683325478532733,-2.386092502895163,-2.5862294501580334,-2.715941344580326,-2.8753834933871993,-3.200137491664517,-3.5628008535097537
GRU_FCOV_in52_out16_ep2_bs4096_seed40_full_merged_spf0p5_sc20_ss42,-0.4137135406089407,-0.14728514139920668,0.0434447289477915,0.08709725410177527,0.0644470258177996,-0.03013035620853577,-0.1327530383318174,-0.2425691057270214,-0.3488445186805167,-0.39182688725249326,-0.48433522854477085,-0.5651194066413665,-0.6643708271726154,-0.819276348896314,-0.9677428254465115,-1.1159732101929012
GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,0.9796907056242274,0.9573357525558595,0.936058200728375,0.9149074035099453,0.8944096959024139,0.8751312331239889,0.85653397616247,0.8379860324930706,0.8206365437346212,0.8045880917216457,0.7873347199257976,0.7719285119556692,0.7578872992152759,0.7448558866734356,0.7338471591204005,0.7216758550806841
GRU_FCOV_in52_out16_ep50_bs4096_stat1_seed40_full_merged_spf0p8_sc20_ss42,-23.626011332521177,-10.519196797262367,-10.181617634996494,-9.208865631123125,-8.365500187512826,-7.841369112563875,-7.3399993642997,-6.833889187477641,-6.460038610744056,-6.084807225264823,-6.147188340637941,-6.360450232530483,-6.675815995322141,-6.728408396726413,-7.384561963646059,-8.705027558676996
GRU_FCOV_in52_out16_ep5_bs4096_seed40_full_merged_spf0p5_sc20_ss42,0.5106752731328639,0.5657661291036766,0.5976259460665281,0.5312197279619127,0.4498582532042652,0.36240937223757763,0.27542239324365514,0.18484873501717303,0.1062226353731427,0.03696068479005876,-0.07191857015873282,-0.19735862559236517,-0.350289053712437,-0.5102413097500402,-0.6766859779547207,-0.916134244353406
GRU_FCOV_in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42,0.5125557521554758,0.425787107987349,0.48124656623492434,0.4223828018606768,0.3329128753457209,0.250774774726224,0.15790305750288414,0.06543693232845249,-0.024634614699775126,-0.12635322527958115,-0.22775322559302702,-0.3408277783764968,-0.4557346840666787,-0.5867127915144925,-0.744067246516273,-0.8611400768476767
