run_dir,horizon,NSE_median_well,RMSE_median_well
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,9,0.8355285721840976,0.07253447300470015
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,10,0.8219428921917346,0.07557732925223339
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,11,0.8096289967725854,0.07907582627360643
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,12,0.7991366410871756,0.08183510588923615
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,13,0.7904121003211634,0.0845366397278802
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,14,0.780856401472646,0.0869346813485346
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,15,0.7741162710956349,0.08916460798236925
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,16,0.7618427168939582,0.09141914176137032
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,1,0.9701911443158494,0.028676255160018153
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,2,0.9431950538935312,0.040606803167138536
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,3,0.9217304281455543,0.04925846766261335
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,4,0.9005752199803951,0.055687799422811074
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,5,0.880237928615795,0.061267151185654935
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,6,0.8630002172028794,0.0666740712811735
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,7,0.8488732744559839,0.07045104106649917
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,8,0.8305242202798707,0.07404835243652251
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,9,0.8108200916254764,0.07773646635718288
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,10,0.7952224567613324,0.08085958173381594
