horizon,run,run_sig,NSE,RMSE
8,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v2_t010_seed40_full_merged,0.8501220437469766,0.06951849526644398
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t002_seed40_full_merged,0.8367905384671716,0.07173871343589214
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t004_seed40_full_merged,0.8573174796389945,0.06721390961223749
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t007_seed40_full_merged,0.8017908501451252,0.0764254268956962
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t008_seed40_full_merged,0.8476113837433761,0.0685048248979527
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t003_seed40_full_merged,0.8573174796389945,0.06721390961223749
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t006_seed40_full_merged,0.8340033376604233,0.07339588692914462
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t007_seed40_full_merged,0.838164434241883,0.06954305699644053
8,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t011_seed40_full_merged,0.8239723458158048,0.07446363038704588
8,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t001_seed40_full_merged,0.8537590365150003,0.06762992687327474
8,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t005_seed40_full_merged,0.8526554905621935,0.06711797349199028
8,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t009_seed40_full_merged,0.8264886405633862,0.07359233880475417
8,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t012_seed40_full_merged,0.8600894563019861,0.06467426038434021
16,gru_l1_in52_out16_ep50_full_merged,gru_small_grid_v1_t009_seed40_full_merged,0.7031200058275748,0.10019506879717449
16,gru_l2_in52_out16_ep50_full_merged,gru_ablation_revin_scheduler_t001_seed40_full_merged,0.7216758550806841,0.09687880655141329
16,gru_l2_in52_out16_ep50_full_merged,gru_ablation_revin_scheduler_t002_seed40_full_merged,0.7618427168939582,0.09141914176137032
16,gru_l2_in52_out16_ep50_full_merged,gru_ablation_revin_scheduler_t003_seed40_full_merged,0.7216758550806841,0.09687880655141329
16,gru_l2_in52_out16_ep50_full_merged,gru_ablation_revin_scheduler_t004_seed40_full_merged,0.7618427168939582,0.09141914176137032
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t001_seed40_full_merged,0.7241574719429844,0.09408205821673077
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t003_seed40_full_merged,0.7548770892589388,0.08900434468994174
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t005_seed40_full_merged,0.7228434431912665,0.0958009445333568
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t006_seed40_full_merged,0.7117635827433375,0.09406520340389558
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t010_seed40_full_merged,0.7307964547012017,0.09465413799192925
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t011_seed40_full_merged,0.7254338831467964,0.09614335011034
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v1_t012_seed40_full_merged,0.7274474991160955,0.09647438977662051
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v2_t002_seed40_full_merged,0.7314289373160824,0.09190426545128265
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v2_t004_seed40_full_merged,0.708733147165213,0.09733157748463753
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v2_t008_seed40_full_merged,0.7504227091171912,0.09096812505495218
16,gru_l2_in52_out16_ep50_full_merged,gru_small_grid_v2_t010_seed40_full_merged,0.7386286150306254,0.09093523792866302
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t002_seed40_full_merged,0.729005979490315,0.09363711696858842
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t004_seed40_full_merged,0.7543364393040601,0.08981838517031716
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t007_seed40_full_merged,0.6940776748278998,0.09802350761178091
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v1_t008_seed40_full_merged,0.7317612584761468,0.09280138676935062
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t003_seed40_full_merged,0.7543364393040601,0.08981838517031716
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t006_seed40_full_merged,0.725318486170466,0.09481165282282804
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t007_seed40_full_merged,0.7337147562132524,0.09232405983896107
16,gru_l3_in52_out16_ep50_full_merged,gru_small_grid_v2_t011_seed40_full_merged,0.7116141092922101,0.09820876193772317
16,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t001_seed40_full_merged,0.7567780195309961,0.08776214086916699
16,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t005_seed40_full_merged,0.7607775115823477,0.0892432373218716
16,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t009_seed40_full_merged,0.7071744172542747,0.09986376426910415
16,gru_l4_in52_out16_ep50_full_merged,gru_small_grid_v2_t012_seed40_full_merged,0.7575100340265488,0.0867861071262909
