run_dir,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
GRU_FCOV_gru_ablation_revin_scheduler_t001_seed40_full_merged,0.02431759497557954,0.035531818420735044,0.0442563429476188,0.05088523786610513,0.05720911276927615,0.06192454453749388,0.06694141838022293,0.07149965415949834,0.07586823343604779,0.0797318361622432,0.08298750504559013,0.0866479134437513,0.0896400688711953,0.09262563754458569,0.09487232398779957,0.09687880655141329
GRU_FCOV_gru_ablation_revin_scheduler_t002_seed40_full_merged,0.026965510848574573,0.03783157047693337,0.045583422530104535,0.0515696803627362,0.05750314554262206,0.062065843426412734,0.0656545905522915,0.06929668888955988,0.07253447300470015,0.07557732925223339,0.07907582627360643,0.08183510588923615,0.0845366397278802,0.0869346813485346,0.08916460798236925,0.09141914176137032
GRU_FCOV_gru_ablation_revin_scheduler_t003_seed40_full_merged,0.02431759497557954,0.035531818420735044,0.0442563429476188,0.05088523786610513,0.05720911276927615,0.06192454453749388,0.06694141838022293,0.07149965415949834,0.07586823343604779,0.0797318361622432,0.08298750504559013,0.0866479134437513,0.0896400688711953,0.09262563754458569,0.09487232398779957,0.09687880655141329
GRU_FCOV_gru_ablation_revin_scheduler_t004_seed40_full_merged,0.026965510848574573,0.03783157047693337,0.045583422530104535,0.0515696803627362,0.05750314554262206,0.062065843426412734,0.0656545905522915,0.06929668888955988,0.07253447300470015,0.07557732925223339,0.07907582627360643,0.08183510588923615,0.0845366397278802,0.0869346813485346,0.08916460798236925,0.09141914176137032
GRU_FCOV_gru_l1_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.028676255160018153,0.040606803167138536,0.04925846766261335,0.055687799422811074,0.061267151185654935,0.0666740712811735,0.07045104106649917,0.07404835243652251,0.07773646635718288,0.08085958173381594,0.0839047489697517,0.08663632958081988,0.08962554787613683,0.09181459522406826,0.09351806190910592,0.09599348420300785
GRU_FCOV_gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.026965510848574573,0.03783157047693337,0.045583422530104535,0.0515696803627362,0.05750314554262206,0.062065843426412734,0.0656545905522915,0.06929668888955988,0.07253447300470015,0.07557732925223339,0.07907582627360643,0.08183510588923615,0.0845366397278802,0.0869346813485346,0.08916460798236925,0.09141914176137032
GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.026965510848574573,0.03783157047693337,0.045583422530104535,0.0515696803627362,0.05750314554262206,0.062065843426412734,0.0656545905522915,0.06929668888955988,0.07253447300470015,0.07557732925223339,0.07907582627360643,0.08183510588923615,0.0845366397278802,0.0869346813485346,0.08916460798236925,0.09141914176137032
GRU_FCOV_gru_l3_seed40_ep50_full_merged_spf0p8_sc20_ss42,0.0296751814198287,0.040585761489032444,0.047804377650889004,0.05374948548734412,0.05869611951821702,0.0631985928546308,0.06690542397505597,0.07131182319525996,0.0747618468700209,0.07845005997694654,0.08110764255384809,0.08401926292325183,0.08568665499474551,0.08807859796053578,0.09043943710609198,0.09283308767643651
GRU_FCOV_in26_out4_ep1_bs128_seed40_sample_spf0p8_sc5_ss42,0.9006176891435248,2.172044850983086,3.9050833975721453,5.542628724830735,,,,,,,,,,,,
GRU_FCOV_in26_out4_ep1_bs4096_seed40_full_merged_spf0p5_sc20_ss42,0.2305524233328903,0.19031363361905781,0.20948866737014404,0.2528142759808158,,,,,,,,,,,,
