hpo_name,trial,run_sig,mean_rmse_1_16,weighted_mean_rmse_1_16,mean_rmse_13_16,rmse_h16,mean_mae_1_16,weighted_mean_mae_1_16,mean_mae_13_16,mae_h16,gru_hidden,gru_layers,gru_dropout,lr
gru_small_grid_v1,3,gru_small_grid_v1_t003_seed40_full_merged,0.17884655978635067,0.18456613503864774,0.213511949713736,0.22161636178595082,0.07186473292443579,0.07604401164511869,0.09617053393184938,0.1011860768834813,192,2,0.2,0.0003
gru_small_grid_v1,10,gru_small_grid_v1_t010_seed40_full_merged,0.18222237330632218,0.18815570679254076,0.2169350506244836,0.22391652635143727,0.07500732972793538,0.07960820056211398,0.10110422578947807,0.1058205822546033,96,2,0.2,0.0001
gru_small_grid_v1,11,gru_small_grid_v1_t011_seed40_full_merged,0.18753364755207896,0.1918978203771975,0.21343834829122185,0.21888754083107817,0.07634944088548348,0.08039501775074766,0.09918185535176008,0.10323677533496525,192,2,0.3,0.001
gru_small_grid_v1,4,gru_small_grid_v1_t004_seed40_full_merged,0.18775508771445987,0.19312450045689844,0.2203197738623678,0.22808718696181166,0.07155356669002882,0.07565816065956317,0.09537609104855613,0.10038405657635296,192,3,0.2,0.0003
gru_small_grid_v2,3,gru_small_grid_v2_t003_seed40_full_merged,0.18775508771445987,0.19312450045689844,0.2203197738623678,0.22808718696181166,0.07155356669002882,0.07565816065956317,0.09537609104855613,0.10038405657635296,192,3,0.2,0.0003
gru_small_grid_v3,7,gru_small_grid_v3_t007_seed40_full_merged,0.18899681636533014,0.19314440673838087,0.21484691071868714,0.2207296491891021,0.07606192382321855,0.07995783312625958,0.09903710518466087,0.10381719693889374,192,5,0.2,0.0004
gru_small_grid_v2,4,gru_small_grid_v2_t004_seed40_full_merged,0.18921068011369951,0.19548768459452157,0.22487661851178914,0.23113950945869108,0.07756263821361722,0.08213716558373603,0.10392460131304596,0.10885716707958522,256,2,0.2,0.0005
gru_small_grid_v2,7,gru_small_grid_v2_t007_seed40_full_merged,0.191185967057859,0.19712005176267092,0.22589002779940423,0.23167766876717544,0.07557285607290545,0.07961667388417894,0.09899186690160182,0.10322122892655362,256,3,0.2,0.0004
gru_small_grid_v3,9,gru_small_grid_v3_t009_seed40_full_merged,0.19300517035653414,0.1975143419839279,0.21981606412201804,0.22553491627053396,0.07811188905234373,0.08225194273501121,0.10209466853046575,0.10688942376781338,160,5,0.2,0.00035
gru_small_grid_v2,5,gru_small_grid_v2_t005_seed40_full_merged,0.1933890627479783,0.19844644770103018,0.2234490934003152,0.2290918360569006,0.07583072974978194,0.07999919539786164,0.09956187352617075,0.10368511066083946,256,4,0.2,0.0002
gru_small_grid_v2,1,gru_small_grid_v2_t001_seed40_full_merged,0.1952012902816028,0.20017574173542763,0.22461619823095974,0.23039487493551186,0.07211240909889724,0.0758030097051554,0.09333528277618255,0.0973966567234956,192,4,0.2,0.0003
gru_small_grid_v3,6,gru_small_grid_v3_t006_seed40_full_merged,0.1952012902816028,0.20017574173542763,0.22461619823095974,0.23039487493551186,0.07211240909889724,0.0758030097051554,0.09333528277618255,0.0973966567234956,192,4,0.2,0.0003
gru_small_grid_v3,2,gru_small_grid_v3_t002_seed40_full_merged,0.19554205836367458,0.20033535456920412,0.22430017264517632,0.23029485217339535,0.0796004300356559,0.08368528539167445,0.10310871885835336,0.10769559406229413,160,5,0.2,0.0004
gru_small_grid_v3,8,gru_small_grid_v3_t008_seed40_full_merged,0.19619493906983415,0.20068313129525892,0.22317339533842223,0.2287130608242336,0.0791085994856304,0.0830684171218934,0.10196092059460399,0.10632925141941417,160,5,0.2,0.0003
gru_small_grid_v1,6,gru_small_grid_v1_t006_seed40_full_merged,0.19340439117863556,0.2007040199580644,0.23706351572581946,0.24607970947682653,0.0763361808481029,0.08102790491874638,0.1034246103067902,0.10871024754109757,128,2,0.1,0.0001
gru_small_grid_v2,6,gru_small_grid_v2_t006_seed40_full_merged,0.19713541846427757,0.2024021426302803,0.22783646185980852,0.23310203238761926,0.07867737633150035,0.08298487763302469,0.10281740572315058,0.10677761909073584,224,3,0.2,0.0005
gru_small_grid_v1,12,gru_small_grid_v1_t012_seed40_full_merged,0.19741883479228042,0.20305306024188652,0.22887660720612782,0.23429227491366986,0.07921674134125073,0.08349882783690322,0.10315054396657039,0.10724219076632692,192,2,0.2,0.001
gru_small_grid_v3,11,gru_small_grid_v3_t011_seed40_full_merged,0.19864269026053885,0.204346149692747,0.2330032800504644,0.23935953880190572,0.07706526252683418,0.08113612449524375,0.10025528772197563,0.1045223072918068,160,4,0.2,0.00035
gru_small_grid_v3,3,gru_small_grid_v3_t003_seed40_full_merged,0.20024521854097832,0.2056309744322756,0.23132924455744713,0.23707081770320948,0.07921414581309341,0.0835418660502214,0.10445675973370652,0.10948068613765097,160,4,0.2,0.0004
gru_small_grid_v2,8,gru_small_grid_v2_t008_seed40_full_merged,0.19765051644797574,0.20644059473116327,0.25113693485644295,0.26109701081968034,0.0755934630972499,0.08020668287983286,0.10258147903882434,0.10784747977626416,256,2,0.2,0.0003
gru_small_grid_v2,11,gru_small_grid_v2_t011_seed40_full_merged,0.2014368483559486,0.20663481119245816,0.23152030065873974,0.23645364594202725,0.08035654810988987,0.08447977611941469,0.10372210659129696,0.1078178313930401,256,3,0.2,0.0005
gru_small_grid_v3,1,gru_small_grid_v3_t001_seed40_full_merged,0.20121732768036452,0.20670212041530686,0.23395749344898828,0.2401268077999997,0.07404179450731135,0.0779006478709562,0.09634763498164269,0.10052164749239378,192,4,0.2,0.00035
gru_small_grid_v1,2,gru_small_grid_v1_t002_seed40_full_merged,0.19952901647783136,0.20693268529007436,0.24393325222500872,0.2521911479899351,0.07906489689117094,0.0838683720287446,0.10664680424302728,0.11171304570639624,128,3,0.1,0.0001
gru_small_grid_v1,1,gru_small_grid_v1_t001_seed40_full_merged,0.20051612661269735,0.2079472974053668,0.24360166405577913,0.2513870982778711,0.0756822284659815,0.08027640702587172,0.10182417936826513,0.10647368715383168,96,2,0.3,0.0001
gru_small_grid_v1,8,gru_small_grid_v1_t008_seed40_full_merged,0.20243550359472345,0.208468283961765,0.2391577729153153,0.2467344039296694,0.07463878296569672,0.07876250412018206,0.09873714319387947,0.1036490781231171,96,3,0.1,0.001
gru_small_grid_v1,9,gru_small_grid_v1_t009_seed40_full_merged,0.20167557901123076,0.21050322840097382,0.2521828531425735,0.2610403877080315,0.08612388463141214,0.09161342083728942,0.11727726327586543,0.12265965227946618,128,1,0.3,0.0001
gru_small_grid_v3,10,gru_small_grid_v3_t010_seed40_full_merged,0.2058259674642683,0.21108474826328716,0.2336067278736117,0.23752296387781882,0.0781481269513607,0.0821107100511116,0.10069004930601266,0.10508388222892596,160,4,0.2,0.0003
gru_small_grid_v3,5,gru_small_grid_v3_t005_seed40_full_merged,0.2055955189891761,0.21156604241297408,0.23866299262854312,0.24314992802655108,0.0789237480837856,0.08305391719350791,0.10200116638516418,0.10631174061814655,192,5,0.2,0.0003
gru_small_grid_v3,12,gru_small_grid_v3_t012_seed40_full_merged,0.2095965028048169,0.2155079688950781,0.24234192041873123,0.24691731444651413,0.08293805439161406,0.08759896760718876,0.10967276237277825,0.11467418567175097,192,5,0.2,0.00035
gru_small_grid_v1,7,gru_small_grid_v1_t007_seed40_full_merged,0.20915909698673302,0.21635052496222354,0.2535662049765256,0.26284018792703967,0.08936055186977418,0.09460090586379684,0.11960470863839096,0.12511607883697645,192,3,0.2,0.001
gru_small_grid_v2,9,gru_small_grid_v2_t009_seed40_full_merged,0.2095455950376737,0.21636972370573415,0.2500663001732774,0.25755119516167646,0.08561836016930363,0.09058868018246302,0.11432092070021362,0.1195821259119859,224,4,0.2,0.0004
