run,horizon,NSE,RMSE,MAE,rMBE,skill_vs_persistence
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,2,-0.147,0.199,0.162,0.112,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,3,0.043,0.184,0.15,-0.172,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,4,0.087,0.195,0.156,-0.122,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,5,0.064,0.2,0.16,-0.002,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,6,-0.03,0.21,0.168,0.118,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,7,-0.133,0.218,0.175,0.179,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,8,-0.243,0.23,0.185,0.202,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,9,-0.349,0.238,0.193,0.193,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,10,-0.392,0.245,0.199,0.165,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,11,-0.484,0.253,0.205,0.136,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,12,-0.565,0.26,0.207,0.087,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,13,-0.664,0.265,0.209,0.032,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,14,-0.819,0.273,0.218,-0.032,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,15,-0.968,0.284,0.225,-0.108,
gru_l1_in52_out16_ep2_full_merged_spatial_split_spf0p5_sc20_ss42,16,-1.116,0.297,0.235,-0.197,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,1,0.511,0.124,0.097,0.058,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,2,0.566,0.126,0.102,-0.015,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,3,0.598,0.12,0.096,-0.132,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,4,0.531,0.13,0.105,-0.14,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,5,0.45,0.144,0.116,-0.071,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,6,0.362,0.156,0.127,-0.026,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,7,0.275,0.168,0.138,-0.016,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,8,0.185,0.18,0.148,-0.018,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,9,0.106,0.191,0.157,-0.031,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,10,0.037,0.201,0.164,-0.059,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,11,-0.072,0.211,0.172,-0.098,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,12,-0.197,0.222,0.182,-0.142,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,13,-0.35,0.232,0.193,-0.188,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,14,-0.51,0.247,0.204,-0.237,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,15,-0.677,0.261,0.215,-0.297,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p5_sc20_ss42,16,-0.916,0.275,0.228,-0.357,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,1,0.513,0.129,0.105,0.073,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,2,0.426,0.146,0.12,0.002,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,3,0.481,0.136,0.111,-0.088,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,4,0.422,0.145,0.117,-0.06,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,5,0.333,0.156,0.127,-0.004,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,6,0.251,0.165,0.135,0.044,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,7,0.158,0.174,0.144,0.058,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,8,0.065,0.183,0.151,0.051,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,9,-0.025,0.193,0.158,0.043,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,10,-0.126,0.203,0.167,0.038,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,11,-0.228,0.213,0.174,0.019,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,12,-0.341,0.223,0.182,-0.015,
gru_l1_in52_out16_ep5_full_merged_spatial_split_spf0p8_sc20_ss42,13,-0.456,0.233,0.19,-0.04,
