horizon,rmse
1,0.03375096113255291
2,0.04507231571798452
3,0.05335319874840729
4,0.060139450487426055
5,0.06582733264028481
6,0.07072167849322526
7,0.0743729887972375
8,0.07807987676521423
9,0.08229955954386646
10,0.08584888288947565
11,0.08922733841552954
12,0.09254601905295963
13,0.09503232747939899
14,0.09776041003579791
15,0.10029039971817018
16,0.10335764773648726
