model,n_wells,common_keys,median_nrmse_per_well,median_rmse_per_well_m
GP on GRU preds,52,11232,2.1219248164046007,0.48694957926257637
GP on true obs,52,11232,2.118868988654489,0.48294998637096553
Global GRU,52,11232,0.3322308151040243,0.0627839435943909
Joint training GRU + GP,52,11232,2.438619999738425,0.554329410159365
