feat,n,nRMSE_iqr_mean,nRMSE_iqr_std,nRMSE_range_mean,nRMSE_range_std,RMSE_mean,RMSE_std
hydroraum_only,22,2.6563133347144077,0.746813951452879,1.2244471699104034,0.3664118083648393,1.199751177422714,0.5040377496207209
hydroraum_gespannt,10,2.951969728348877,0.7879323948752961,1.3566751292849657,0.4618514395806258,1.258278979129918,0.4833087683447957
fuk_only,10,2.9758879155989404,0.805823410285883,1.444161289365794,0.46819646009103827,1.2230373881272214,0.3592515205670921
