nominal_level,oracle_coverage,decoupled_coverage,oracle_coverage_pw,decoupled_coverage_pw
0.1,0.05358911921411921,0.05426748525340075,0.05086509627525252,0.051451140290818986
0.2,0.10759743728493729,0.10805119176598049,0.10366554621111912,0.10402402842983828
0.3,0.1650434634809635,0.16576832791621524,0.16196244829871131,0.16238616110241696
0.4,0.2243803071928072,0.22454481160467077,0.22252059674748473,0.22244602840810293
0.5,0.28156045343545344,0.2806044600938967,0.28154909868777056,0.2802408344744392
0.6,0.3342700702075702,0.33501188756470446,0.3373610860590028,0.3377948536124153
0.7,0.3845375111000111,0.3860938064283135,0.389917473657708,0.39146707501956185
0.8,0.44525994838494837,0.44849073070904055,0.4487365164855399,0.4524522229829595
0.9,0.5254044566544567,0.5277988443481402,0.5296747899693863,0.5323431352971223
0.95,0.576205044955045,0.576285813169616,0.583031807722563,0.5831865348145975
