split,feat_config,nRMSE_pw_mean,nRMSE_pw_std,n_gp_seeds
rand_f95,acf_class_only,0.9520726519532386,0.0013249397269247802,3
rand_f95,acf_only,0.9520726519532386,0.0013249397269247802,3
rand_f95,best_acf_class,0.9014896292578706,0.0206643165340007,3
rand_f95,best_fok,0.7155659570861195,0.016567682058295258,3
rand_f95,best_fok_fuk,0.6874823668982787,0.02873651917267108,3
rand_f95,best_fuk,0.6864942604272324,0.02599640084554058,3
rand_f95,best_gwlk_cont,0.8011705920020091,0.008282144357205926,3
rand_f95,best_gwlk_onehot,0.8139250106977967,0.016348417584520603,3
rand_f95,best_pr1lag,1.1172649773788959,0.014826968778949358,3
rand_f95,best_pr52lag,0.9140795075378337,0.04072859426753533,3
rand_f95,best_pr52lag_xcorr,0.8277989656986277,0.011988242254311252,3
rand_f95,best_pr52xcorr,0.8196006517319763,0.004385616983379679,3
rand_f95,best_pr_all,0.843148478112748,0.019254434666155708,3
rand_f95,coords_only,0.6037942916188617,0.012079228700955116,3
rand_f95,fok_fuk,0.5712931337282284,0.008973820584423692,3
rand_f95,fok_only,0.5577963736245297,0.0117245295232619,3
rand_f95,fuk_only,0.5189306043118723,0.008762172267912049,3
rand_f95,gespannt_only,0.5380987205624156,0.040194918775943354,3
rand_f95,gfa_hydroraum,0.5311703987768586,0.002887830920040694,3
rand_f95,gwlk_cont_only,0.708245674573288,0.005674817207057725,3
rand_f95,hr_gesp_acf,0.7258288451856715,0.005255649769287796,3
rand_f95,hydroraum_gespannt,0.522708287436004,0.009947251902376037,3
rand_f95,hydroraum_only,0.5311286548642763,0.0033803712436399065,3
rand_f95,pr1lag_only,0.9498503597588684,0.02810982794153241,3
rand_f95,pr52lag_only,0.5442694213161547,0.00427467885911166,3
rand_f95,pr52xcorr_only,0.668369699667077,0.02476858724263326,3
rand_f95,siwa_acf,1.4610033291594222,0.016060491470296263,3
rand_f95,siwa_acf_class,1.4610033291594222,0.016060491470296263,3
rand_f95,siwa_fok,0.7929396910478138,0.013653293108599565,3
rand_f95,siwa_fok_fuk,0.7889627740370773,0.022737220429183056,3
rand_f95,siwa_fuk,0.7720982052595549,0.025300763133457853,3
rand_f95,siwa_gespannt,0.8577584770624346,0.01005829463044085,3
rand_f95,siwa_hr_gesp_acf,0.9014896292578706,0.0206643165340007,3
rand_f95,siwa_hydroraum,0.724389912139633,0.00465873047365586,3
rand_f95,siwa_hydroraum_gespannt,0.8203646466633692,0.015633154176030943,3
rand_f95,siwa_only,0.8637328413076881,0.016710119897252504,3
rand_f80,acf_only,0.7798997163977215,0.0025543074800061186,3
rand_f80,best_fok,1.0244966446606587,0.009569225897257935,3
rand_f80,best_fok_fuk,1.0226855098723693,0.008294926570116769,3
rand_f80,best_fuk,1.010347514499124,0.010599015426913407,3
rand_f80,best_gwlk_cont,1.00702738410389,0.014129225142858512,3
rand_f80,best_gwlk_onehot,1.0501023042439948,0.007277894023672444,3
rand_f80,best_pr52lag,0.9906182938011633,0.014748793283693681,3
rand_f80,best_pr52lag_xcorr,1.0794909288307377,0.015925100003824622,3
rand_f80,best_pr52xcorr,1.0538669795471616,0.014476951038736174,3
rand_f80,coords_only,0.6566053204147596,0.004327240315318467,3
rand_f80,fok_fuk,0.7371247604351371,0.0034736055909211105,3
rand_f80,fok_only,0.7521921805966478,0.004051478397063194,3
rand_f80,fuk_only,0.7364374291295368,0.0026868627767670876,3
rand_f80,gespannt_only,0.6301626840635149,0.00454277319699395,3
rand_f80,gwlk_cont_only,0.6606547415752385,0.01685375755100887,3
rand_f80,hr_gesp_acf,0.8404436910085824,0.01480062773292609,3
rand_f80,hydroraum_gespannt,0.6864833877308595,0.009862753080895056,3
rand_f80,hydroraum_only,0.663921839821465,0.005068183250138384,3
rand_f80,pr1lag_only,0.6905848693956632,0.018735019542585597,3
rand_f80,pr52lag_only,0.6831374237182996,0.015226685531455359,3
rand_f80,pr52xcorr_only,1.0080748104537707,0.012654582954776419,3
rand_f80,siwa_acf,1.1110670475069562,0.011806365964603386,3
rand_f80,siwa_fok,0.898223814427704,0.0031791349517633523,3
rand_f80,siwa_fok_fuk,0.8867967486852869,0.009872969048379473,3
rand_f80,siwa_fuk,0.8912172611435295,0.004667384480469022,3
rand_f80,siwa_gespannt,0.9411628747036485,0.027781776793041352,3
rand_f80,siwa_hr_gesp_acf,1.0501062729349984,0.011161639605394543,3
rand_f80,siwa_hydroraum,0.7440012861751716,0.000777439012410825,3
rand_f80,siwa_hydroraum_gespannt,0.8758420208270655,0.018740468149458653,3
rand_f80,siwa_only,0.7995211455660898,0.011188027588804998,3
