log,run,valid_pairs,skipped,RMSE,nRMSE,NSE_pooled,NSE,NSE_id_median,NSE_id_p25,NSE_id_p50,NSE_id_p75,NSE_id_mean,NSE_id_count,NSE_hw,RMSE_hw,nRMSE_hw,MAE,AbsErr_P95,AbsErr_P99,AbsErr_Max,nRMSE_pw,RMSE_pw,NSE_pw,n_dates,n_train_wells,n_holdout_wells,dkl_latent_dims,dkl_train_steps,gp_ls,gp_os,gp_noise,dkl_best_mll,y_mean,y_std
gw-dec-km-80-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f80_ss46__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,6.6477,0.2184,0.919,0.919,-43.1278,-357.8881,-43.1278,-3.7911,-2665.5559,204.0,-41.5409,1.1499,5.0367,3.2153,15.9897,32.1934,39.7823,5.4275,1.2934,-43.1278,,,,,,,,,,,
gw-dec-km-80-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f80_ss47__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,5.0599,0.1273,0.9571,0.9571,-33.7388,-463.3476,-33.7388,-4.0324,-1658.7984,202.0,-32.5854,0.9826,4.2884,2.8195,13.5181,18.6443,22.5131,4.646,1.0365,-33.7388,,,,,,,,,,,
gw-dec-km-80-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f80_ss48__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,9.8205,0.268,0.8744,0.8744,-30.2505,-419.5997,-30.2505,-4.6373,-7810.4685,203.0,-29.1055,1.0413,4.2994,4.5685,23.416,43.2782,54.0623,4.2149,1.0652,-30.2505,,,,,,,,,,,
gw-dec-km-80-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f80_ss49__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,8.6951,0.2661,0.8774,0.8774,-57.5232,-710.7046,-57.5232,-6.2495,-3899.9411,204.0,-56.6529,1.4373,5.9789,4.0971,19.5977,40.9081,57.9828,6.212,1.5043,-57.5232,,,,,,,,,,,
gw-dec-km-80-ss50.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f80_ss50__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,7.3306,0.2274,0.9126,0.9126,-35.8101,-359.6156,-35.8101,-5.9093,-4108.5524,202.0,-32.2209,1.1407,4.5113,3.486,14.1186,37.1174,49.5395,4.6583,1.1556,-35.8101,,,,,,,,,,,
gw-dec-km-80-ss51.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f80_ss51__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,9.4012,0.2681,0.8642,0.8642,-67.3907,-740.6423,-67.3907,-4.3734,-3851.1363,203.0,-54.4482,1.3139,5.8558,4.3612,17.3284,48.7391,56.5843,6.0417,1.2919,-67.3907,,,,,,,,,,,
gw-dec-km-90-ss42.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss42__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,6.297,0.2351,0.9202,0.9202,-67.1724,-710.5792,-67.1724,-3.8966,-1514.9897,98.0,-65.3259,1.5301,6.2007,3.5154,16.9241,25.1432,31.9463,6.3713,1.464,-67.1724,,,,,,,,,,,
gw-dec-km-90-ss43.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss43__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,6.7384,0.165,0.9314,0.9314,-48.5766,-413.3745,-48.5766,-4.9355,-1957.7136,99.0,-43.9936,1.2488,5.4203,3.4277,16.3594,33.7788,42.6411,5.5362,1.2769,-48.5766,,,,,,,,,,,
gw-dec-km-90-ss44.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss44__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,5.9032,0.1454,0.9369,0.9369,-32.2509,-432.0351,-32.2509,-3.0958,-1367.0958,99.0,-27.0565,1.0591,4.1844,3.1587,17.1194,20.2959,24.9908,4.2275,1.1571,-32.2509,,,,,,,,,,,
gw-dec-km-90-ss45.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f90_ss45__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,6.0727,0.2238,0.9104,0.9104,-32.4501,-507.0297,-32.4501,-4.245,-2869.9077,99.0,-31.8441,0.9883,4.2978,2.9567,14.0449,35.3131,40.0505,4.5071,0.9916,-32.4501,,,,,,,,,,,
