split,frac,ss,tag,NSE_hw,run
md20,95,44,multiseed_md20_gps1,-37.06920992813394,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44__multiseed_md20_gps1__predobstrain
md20,95,44,multiseed_md20_gps2,-33.783899765469855,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44__multiseed_md20_gps2__predobstrain
md20,95,44,multiseed_md20_gps3,-35.43720922008191,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss44__multiseed_md20_gps3__predobstrain
md20,95,45,multiseed_md20_gps1,-27.39145539204833,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45__multiseed_md20_gps1__predobstrain
md20,95,45,multiseed_md20_gps2,-27.343503854854845,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45__multiseed_md20_gps2__predobstrain
md20,95,45,multiseed_md20_gps3,-29.1434616356006,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss45__multiseed_md20_gps3__predobstrain
md20,95,46,multiseed_md20_gps1,-22.501557075058287,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46__multiseed_md20_gps1__predobstrain
md20,95,46,multiseed_md20_gps2,-25.978336209445278,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46__multiseed_md20_gps2__predobstrain
md20,95,46,multiseed_md20_gps3,-22.397314157994465,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss46__multiseed_md20_gps3__predobstrain
md20,95,47,multiseed_md20_gps1,-50.39908790910257,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47__multiseed_md20_gps1__predobstrain
md20,95,47,multiseed_md20_gps2,-57.29383840153359,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47__multiseed_md20_gps2__predobstrain
md20,95,47,multiseed_md20_gps3,-53.28695406358442,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss47__multiseed_md20_gps3__predobstrain
md20,95,48,multiseed_md20_gps1,-87.60189775379521,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48__multiseed_md20_gps1__predobstrain
md20,95,48,multiseed_md20_gps2,-86.30157208911253,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48__multiseed_md20_gps2__predobstrain
md20,95,48,multiseed_md20_gps3,-83.43916486856503,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss48__multiseed_md20_gps3__predobstrain
md20,95,49,multiseed_md20_gps1,-50.89474562178118,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss49__multiseed_md20_gps1__predobstrain
md20,95,49,multiseed_md20_gps2,-46.67360448921707,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss49__multiseed_md20_gps2__predobstrain
md20,95,49,multiseed_md20_gps3,-47.260721027852625,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss49__multiseed_md20_gps3__predobstrain
md20,95,50,multiseed_md20_gps1,-21.528183236463747,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss50__multiseed_md20_gps1__predobstrain
md20,95,50,multiseed_md20_gps2,-22.119526847689432,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss50__multiseed_md20_gps2__predobstrain
md20,95,50,multiseed_md20_gps3,-22.75448897008136,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss50__multiseed_md20_gps3__predobstrain
md20,95,51,multiseed_md20_gps1,-63.349779576479904,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss51__multiseed_md20_gps1__predobstrain
md20,95,51,multiseed_md20_gps2,-57.35974520249384,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss51__multiseed_md20_gps2__predobstrain
md20,95,51,multiseed_md20_gps3,-62.695146088024835,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md20_f95_ss51__multiseed_md20_gps3__predobstrain
md30,80,42,multiseed_md30_gps1,-135.25551482000196,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f80_ss42__multiseed_md30_gps1__predobstrain
md30,80,42,multiseed_md30_gps2,-146.25654648575045,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f80_ss42__multiseed_md30_gps2__predobstrain
md30,80,42,multiseed_md30_gps3,-134.54212878373474,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f80_ss42__multiseed_md30_gps3__predobstrain
md30,90,42,multiseed_md30_gps1,-31.352572137134608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f90_ss42__multiseed_md30_gps1__predobstrain
md30,90,42,multiseed_md30_gps2,-31.094273678995513,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f90_ss42__multiseed_md30_gps2__predobstrain
md30,90,42,multiseed_md30_gps3,-31.61173988900179,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f90_ss42__multiseed_md30_gps3__predobstrain
md30,95,42,coloc_pilot,-12.908120748326422,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss42__coloc_pilot__predobstrain
md30,95,42,ms_wk,-12.588278346905318,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss42__ms_wk__predobstrain
md30,95,42,multiseed_md30_gps1,-13.029117922669228,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss42__multiseed_md30_gps1__predobstrain
md30,95,42,multiseed_md30_gps2,-12.817768477962655,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss42__multiseed_md30_gps2__predobstrain
md30,95,42,multiseed_md30_gps3,-14.452347917844264,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss42__multiseed_md30_gps3__predobstrain
md30,95,43,coloc_pilot,-33.95079008060862,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss43__coloc_pilot__predobstrain
md30,95,43,multiseed_md30_gps1,-35.844474375874896,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss43__multiseed_md30_gps1__predobstrain
md30,95,43,multiseed_md30_gps2,-33.03239808195789,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss43__multiseed_md30_gps2__predobstrain
md30,95,43,multiseed_md30_gps3,-34.476510984223935,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss43__multiseed_md30_gps3__predobstrain
md30,95,44,coloc_pilot,-15.152707287775016,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss44__coloc_pilot__predobstrain
md30,95,44,multiseed_md30_gps1,-17.09304335868236,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss44__multiseed_md30_gps1__predobstrain
md30,95,44,multiseed_md30_gps2,-15.928629613744423,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md30_f95_ss44__multiseed_md30_gps2__predobstrain
