split,frac,n,RMSE_mean,RMSE_med,NSE_mean,NSE_med,nRMSE_mean,nRMSE_med
md50,95,50,1.0270081223831518,0.9571902371636799,-33.55577801986238,-28.271044729460634,2.5832798977096467,2.6023296517439367
md50,90,50,1.0578742474668055,1.060329431882114,-34.553938829830614,-34.61786301691386,2.6731796082131867,2.6292911270538526
rand,90,50,1.166540241233662,1.1792740038637626,-46.89800228043567,-38.4552556859702,2.879998885688499,2.774183397360736
rand,95,50,1.3048298514975365,1.2699831172198144,-52.440337221035215,-46.42707191937135,3.2497442702178403,3.2307046435780644
md90,95,50,1.3295477017487891,1.312389367836531,-44.341287232416846,-34.186450864148966,3.2803141591389915,3.1473567007984675
md10,95,50,1.4465953878476105,1.435805730709243,-74.99777075333414,-74.13444406286132,3.7897237819102947,3.597068813065052
km,95,25,1.4756990570195168,1.3150356334355346,-77.81346527759602,-55.34280792890309,3.4334158693275896,3.6434201601858107
rand,80,25,1.569386566548569,1.6144307219993426,-75.14734762347435,-71.44739165844447,3.630481227750483,3.7071288098313437
md100,95,25,1.599717887681654,1.4680390842331748,-118.63848070463486,-127.74927951591471,4.355206507296217,4.016480539524937
