rmse_pooled_m,mae_pooled_m,rmse_mean_pw_m,rmse_median_pw_m,iqr_mean_pw_m,iqr_median_pw_m,nrmse_pw,n_wells,n_rows,tag
3.0173,1.5368,1.6889,0.5044,0.4039,0.325,1.2081,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t044_ni32_ps200_j1e-04__predobstrain
2.9932,1.5169,1.6746,0.5076,0.4039,0.325,1.2081,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t035_ni128_ps200_j1e-03__predobstrain
3.0581,1.5693,1.7147,0.5088,0.4039,0.325,1.2108,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t099__hpo_sep_t099__predobstrain
3.0783,1.5883,1.7357,0.5173,0.4039,0.325,1.2109,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t109__hpo_sep_t109__predobstrain
2.9801,1.5064,1.6618,0.5065,0.4039,0.325,1.2109,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t016_ni64_ps200_j1e-03__predobstrain
3.0306,1.5508,1.6957,0.5093,0.4039,0.325,1.2127,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t026_ni128_ps200_j1e-03__predobstrain
3.027,1.5444,1.696,0.5063,0.4039,0.325,1.2137,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t122__hpo_sep_t122__predobstrain
3.0212,1.5402,1.6884,0.5102,0.4039,0.325,1.2157,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t038_ni64_ps200_j1e-03__predobstrain
3.0272,1.544,1.6969,0.5053,0.4039,0.325,1.2171,52,444992,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t108__hpo_sep_t108__predobstrain
3.0474,1.5643,1.7128,0.5075,0.4039,0.325,1.219,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t037_ni64_ps200_j1e-03__predobstrain
3.0444,1.5598,1.7082,0.5095,0.4039,0.325,1.2197,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_hpo_t031_ni256_ps200_j1e-03__predobstrain
3.0679,1.5779,1.7235,0.5159,0.4039,0.325,1.2202,52,444992,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t127__hpo_sep_t127__predobstrain
