rmse_pooled_m,mae_pooled_m,rmse_mean_pw_m,rmse_median_pw_m,iqr_mean_pw_m,iqr_median_pw_m,nrmse_pw,n_wells,n_rows,tag
3.0842,1.4532,1.4776,0.4524,0.2391,0.19,1.9239,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t074__hpo_sep_t074__predobstrain
3.0514,1.4308,1.4557,0.4818,0.2391,0.19,1.9344,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t031__hpo_sep_t031__predobstrain
3.1207,1.7051,1.9188,0.5822,0.4039,0.325,1.9406,52,444992,GRU_FCOV_fok_fuk_filt_test52_decoupled__full_hist_siwa_hr_gesp_fok_fuk_filtered__predobstrain
3.0662,1.4401,1.4663,0.4701,0.2391,0.19,1.9407,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t085__hpo_sep_t085__predobstrain
3.0978,1.4601,1.4849,0.4837,0.2391,0.19,1.9415,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t080__hpo_sep_t080__predobstrain
3.0867,1.4538,1.4779,0.4624,0.2391,0.19,1.943,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t037__hpo_sep_t037__predobstrain
4.4675,2.2448,2.5197,0.6417,0.4039,0.325,1.9478,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_acf_class__predobstrain
3.1015,1.4621,1.489,0.4793,0.2391,0.19,1.9512,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t049__hpo_sep_t049__predobstrain
3.0568,1.4327,1.4588,0.4881,0.2391,0.19,1.9526,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t043__hpo_sep_t043__predobstrain
3.9396,1.9735,2.1985,0.7471,0.4039,0.325,1.9616,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_intvar_hr_gesp_ind256__predobstrain
3.0688,1.4406,1.4678,0.4775,0.2391,0.19,1.9686,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t025__hpo_sep_t025__predobstrain
3.0614,1.4392,1.4657,0.4763,0.2391,0.19,1.969,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t071__hpo_sep_t071__predobstrain
3.0908,1.4572,1.4825,0.473,0.2391,0.19,1.9738,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t023__hpo_sep_t023__predobstrain
3.1514,1.3436,1.3625,0.4463,0.2391,0.19,1.9746,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_test52__predobstrain
3.158,1.7337,1.9502,0.5913,0.4039,0.325,1.9765,52,444992,GRU_FCOV_fok_fuk_filt_test52_decoupled__full_hist_siwa_hr_gesp_fok_fuk_clean__predobstrain
3.1139,1.4719,1.496,0.4806,0.2391,0.19,1.9797,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t081__hpo_sep_t081__predobstrain
3.0965,1.4575,1.4847,0.4758,0.2391,0.19,1.9821,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t053__hpo_sep_t053__predobstrain
2.992,1.3155,1.3322,0.5609,0.2391,0.19,1.9956,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_gespannt__predobstrain
4.7952,2.2432,2.5601,0.7405,0.4039,0.325,1.9967,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__hr_gesp_acf_class__predobstrain
2.9932,1.3317,1.348,0.5663,0.2391,0.19,2.0017,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_gespannt_rand_52ho__predobstrain
3.0756,1.4478,1.4744,0.4668,0.2391,0.19,2.0044,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t033__hpo_sep_t033__predobstrain
3.1495,1.3439,1.3628,0.4376,0.2391,0.19,2.0061,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_gwlk3_exclude__gwlk3_exclude_siwa_hr_gesp__predobstrain
3.0711,1.4444,1.4691,0.4766,0.2391,0.19,2.0083,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t063__hpo_sep_t063__predobstrain
5.3975,1.9147,1.959,0.4737,0.2391,0.19,2.0161,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1l__predobstrain
3.0968,1.4607,1.4872,0.4742,0.2391,0.19,2.0179,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t088__hpo_sep_t088__predobstrain
3.0845,1.4517,1.4767,0.4629,0.2391,0.19,2.021,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t057__hpo_sep_t057__predobstrain
3.0705,1.4432,1.471,0.477,0.2391,0.19,2.0237,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t029__hpo_sep_t029__predobstrain
3.46,1.5431,1.56,0.4833,0.2391,0.19,2.0248,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gespannt__predobstrain
3.1012,1.4652,1.4891,0.4791,0.2391,0.19,2.027,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t089__hpo_sep_t089__predobstrain
3.093,1.4594,1.4863,0.4742,0.2391,0.19,2.0313,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t039__hpo_sep_t039__predobstrain
3.1078,1.4665,1.4945,0.4838,0.2391,0.19,2.0318,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t082__hpo_sep_t082__predobstrain
3.0967,1.4612,1.4861,0.4798,0.2391,0.19,2.033,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t065__hpo_sep_t065__predobstrain
3.0847,1.4487,1.4773,0.4688,0.2391,0.19,2.0334,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t073__hpo_sep_t073__predobstrain
3.1136,1.47,1.496,0.4917,0.2391,0.19,2.0344,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t058__hpo_sep_t058__predobstrain
3.088,1.4565,1.4814,0.4747,0.2391,0.19,2.0358,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t027__hpo_sep_t027__predobstrain
3.1009,1.4619,1.4894,0.4849,0.2391,0.19,2.0371,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t050__hpo_sep_t050__predobstrain
3.0756,1.4453,1.4749,0.4839,0.2391,0.19,2.0384,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t032__hpo_sep_t032__predobstrain
3.1236,1.4796,1.5081,0.4856,0.2391,0.19,2.0397,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t083__hpo_sep_t083__predobstrain
3.0966,1.4597,1.4881,0.4765,0.2391,0.19,2.0456,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t084__hpo_sep_t084__predobstrain
3.1247,1.4762,1.5086,0.5023,0.2391,0.19,2.0499,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t055__hpo_sep_t055__predobstrain
3.0867,1.4504,1.4782,0.4788,0.2391,0.19,2.0516,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t060__hpo_sep_t060__predobstrain
3.1137,1.473,1.5015,0.4974,0.2391,0.19,2.0602,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t087__hpo_sep_t087__predobstrain
3.1198,1.4723,1.503,0.4934,0.2391,0.19,2.0606,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t051__hpo_sep_t051__predobstrain
3.1036,1.4665,1.4958,0.4771,0.2391,0.19,2.0666,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t056__hpo_sep_t056__predobstrain
3.0837,1.4508,1.4791,0.4822,0.2391,0.19,2.0701,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t061__hpo_sep_t061__predobstrain
3.102,1.4648,1.4915,0.4755,0.2391,0.19,2.072,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_hpo_sep_t059__hpo_sep_t059__predobstrain
3.0906,1.4568,1.4829,0.47,0.2391,0.19,2.0801,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t068__hpo_sep_t068__predobstrain
3.0957,1.4579,1.4876,0.4663,0.2391,0.19,2.0803,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t076__hpo_sep_t076__predobstrain
3.1193,1.4739,1.5032,0.4961,0.2391,0.19,2.0815,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t062__hpo_sep_t062__predobstrain
3.0808,1.448,1.4768,0.481,0.2391,0.19,2.0823,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t040__hpo_sep_t040__predobstrain
3.127,1.4798,1.507,0.4976,0.2391,0.19,2.0833,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t079__hpo_sep_t079__predobstrain
3.1095,1.4674,1.4977,0.4877,0.2391,0.19,2.0835,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t030__hpo_sep_t030__predobstrain
3.0769,1.4488,1.4762,0.4843,0.2391,0.19,2.0837,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t034__hpo_sep_t034__predobstrain
3.0943,1.4603,1.489,0.4753,0.2391,0.19,2.0846,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t045__hpo_sep_t045__predobstrain
3.1032,1.4646,1.4921,0.4863,0.2391,0.19,2.085,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t075__hpo_sep_t075__predobstrain
3.119,1.4739,1.5028,0.4904,0.2391,0.19,2.0854,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t036__hpo_sep_t036__predobstrain
3.0926,1.4589,1.4873,0.4759,0.2391,0.19,2.086,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t041__hpo_sep_t041__predobstrain
3.1006,1.4643,1.4917,0.4769,0.2391,0.19,2.0868,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t028__hpo_sep_t028__predobstrain
3.1044,1.4677,1.4949,0.4799,0.2391,0.19,2.0869,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t035__hpo_sep_t035__predobstrain
2.4705,1.2755,1.3039,0.552,0.2756,0.21,2.0872,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_random90_decoupled__feat_gok_gespannt__predobstrain
3.1187,1.4778,1.5041,0.4942,0.2391,0.19,2.0873,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t024__hpo_sep_t024__predobstrain
3.0955,1.4581,1.4911,0.4768,0.2391,0.19,2.0887,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t067__hpo_sep_t067__predobstrain
3.0984,1.4621,1.4895,0.4839,0.2391,0.19,2.0896,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t042__hpo_sep_t042__predobstrain
3.0938,1.4603,1.4885,0.4765,0.2391,0.19,2.0903,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t026__hpo_sep_t026__predobstrain
3.0872,1.4572,1.485,0.4657,0.2391,0.19,2.0925,52,44304,GRU_FCOV_in52_out16_ep50_bs2048_seed40_full_merged_test52_hpo_sep_t044__hpo_sep_t044__predobstrain
5.824,2.313,2.6724,0.6437,0.4039,0.325,2.093,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__pr1lag__predobstrain
3.1252,1.4809,1.5069,0.4962,0.2391,0.19,2.0947,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t069__hpo_sep_t069__predobstrain
3.1219,1.4745,1.5094,0.4926,0.2391,0.19,2.1008,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t070__hpo_sep_t070__predobstrain
3.078,1.4495,1.4765,0.4716,0.2391,0.19,2.1114,52,44304,GRU_FCOV_in52_out16_ep50_bs8192_seed40_full_merged_test52_hpo_sep_t086__hpo_sep_t086__predobstrain
3.831,1.6626,1.6824,0.5101,0.2391,0.19,2.1122,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_perc5_52ho__predobstrain
5.5486,2.6561,2.6483,0.6884,0.4039,0.325,2.1429,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_hr_gespannt_geo__predobstrain
5.6336,2.3264,2.9235,0.7203,0.4039,0.325,2.1553,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_pr52lag__predobstrain
3.2816,1.4522,1.4705,0.4336,0.2391,0.19,2.172,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hydroraum__predobstrain
2.6535,1.4852,1.543,0.65,0.2756,0.21,2.1893,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_random90_decoupled__feat_gok__predobstrain
4.2501,2.1095,2.328,0.6415,0.4039,0.325,2.1919,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__acf_class__predobstrain
3.4857,1.6393,1.6553,0.4989,0.2391,0.19,2.2495,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gespannt_rand_52ho__predobstrain
3.2072,1.4382,1.4564,0.4701,0.2391,0.19,2.2587,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_rand_52ho__predobstrain
3.6534,1.7061,1.724,0.4811,0.2391,0.19,2.2975,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gespannt_clust_52ho__predobstrain
2.9183,1.4955,1.6681,0.7282,0.3851,0.3213,2.3038,104,833104,GRU_FCOV_oracle_random_max_dist_90__oracle_feat_hr_gespannt__predobstrain
2.4537,1.1626,1.1799,0.592,0.2365,0.19,2.304,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_rmd90_decoupled__feat_gok_gespannt__predobstrain
2.8006,1.2603,1.2839,0.6147,0.2391,0.19,2.3292,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_hr__predobstrain
3.1917,1.4244,1.4428,0.4769,0.2391,0.19,2.3416,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_clust_52ho__predobstrain
4.6256,2.2962,2.7054,1.1023,0.4039,0.325,2.3637,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_dyn_hr_gesp_ind256__predobstrain
3.0134,1.3497,1.369,0.6093,0.2391,0.19,2.3686,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_gespannt_clust_52ho__predobstrain
3.2559,1.4364,1.4561,0.4742,0.2391,0.19,2.3884,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hydroraum_clust_52ho__predobstrain
4.6479,2.3064,2.718,1.1076,0.4039,0.325,2.3989,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_siwa_dyn_hr_gesp_ind512__predobstrain
2.2278,1.0901,1.1147,0.5354,0.2365,0.19,2.4192,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_rmd90_decoupled__feat_gok__predobstrain
3.3542,1.5452,1.5621,0.4485,0.2391,0.19,2.4381,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hydroraum_rand_52ho__predobstrain
5.731,2.1774,2.6958,0.8143,0.4039,0.325,2.4784,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__pr52lag__predobstrain
3.7541,1.8437,2.2333,0.8972,0.4039,0.325,2.4942,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__gwlk__predobstrain
5.9095,2.5941,3.1664,0.8952,0.3851,0.3213,2.5532,104,833104,GRU_FCOV_oracle_random_max_dist_90__oracle_feat_hr_gespannt_p1l__predobstrain
3.032,1.5326,1.5499,0.6283,0.2365,0.19,2.5965,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_rmd90_decoupled__feat_gespannt__predobstrain
3.5212,1.8479,2.0765,0.9759,0.4039,0.325,2.6226,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__decoupled_full_hist_hr_gespannt_pt500__predobstrain
7.3618,3.1006,3.1386,0.6075,0.2742,0.25,2.6492,95,80940,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_spf0p9_decoupled__feat_hydroraum__predobstrain
2.6873,1.1741,1.1976,0.5837,0.2391,0.19,2.6747,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_rand_52ho__predobstrain
5.893,2.266,2.3262,0.6076,0.2391,0.19,2.681,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p52l__predobstrain
2.9004,1.4547,1.4743,0.6043,0.2365,0.19,2.7568,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_rmd90_decoupled__feat_hydroraum__predobstrain
3.0929,1.4979,1.5242,0.705,0.2391,0.19,2.7695,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_perc5_52ho__predobstrain
4.3591,1.8126,1.8339,0.5052,0.2391,0.19,2.7789,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hydroraum_perc5_52ho__predobstrain
5.9339,2.4359,2.5105,0.6305,0.2391,0.19,2.8053,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1l_p52l__predobstrain
4.1923,1.9935,2.0107,0.5972,0.2391,0.19,2.8065,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gespannt_perc5_52ho__predobstrain
3.9717,2.0582,2.0826,0.7073,0.2756,0.21,2.8395,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_random90_decoupled__decoupled_random90__predobstrain
3.9168,2.0462,2.0746,0.7498,0.2756,0.21,2.859,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_random90_decoupled__feat_gespannt__predobstrain
4.9904,2.0906,2.1349,0.6838,0.2742,0.25,2.8746,95,80940,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_spf0p9_decoupled__feat_gok__predobstrain
2.854,1.4601,1.4727,0.5983,0.2463,0.2,2.9853,104,96512,GRU_FCOV_oracle_random_max_dist_90__oracle_windowed__predobstrain
2.7048,1.1552,1.1749,0.5369,0.2391,0.19,2.9993,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_clust_52ho__predobstrain
2.6682,1.1355,1.1577,0.5473,0.2391,0.19,3.0981,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok__predobstrain
2.8368,1.4461,1.4641,0.6483,0.2365,0.19,3.1463,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_rmd90_decoupled__decoupled_rmd90__predobstrain
4.5046,2.5027,2.775,1.1137,0.4039,0.325,3.1484,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_gwlk__predobstrain
4.531,2.4156,2.4387,0.9843,0.2391,0.19,3.1851,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p52l_p52x__predobstrain
4.5476,2.3946,2.438,0.8738,0.3226,0.29,3.2317,199,20895,GRU_FCOV__in52_out16_ep5_bs4096_seed40_full_merged_spf0p8_sc20_ss42__predobstrain
6.8156,2.8442,2.8679,0.821,0.2742,0.25,3.2317,95,80940,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_spf0p9_decoupled__feat_gespannt__predobstrain
7.4622,3.0868,3.1073,0.6199,0.2742,0.25,3.2541,95,80940,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_spf0p9_decoupled__decoupled_spf0p9__predobstrain
6.1518,3.1118,3.3663,0.9537,0.4039,0.325,3.2628,52,444992,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__full_hist_hr_gespannt_all_new__predobstrain
6.5375,2.0653,2.1163,0.8352,0.2797,0.24,3.2703,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gok_only__predobstrain
4.5996,2.5685,2.9574,1.1984,0.4039,0.325,3.2745,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_pr52lag_xcorr__predobstrain
4.6328,2.3302,2.3747,0.7511,0.2391,0.19,3.2782,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1l_p52l_p52x__predobstrain
4.5925,2.264,2.2842,0.7205,0.2391,0.19,3.2928,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1l_p52x__predobstrain
4.8244,2.5472,2.5709,0.9158,0.2391,0.19,3.2935,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1l_p1x_p52l__predobstrain
4.8722,2.2112,2.2382,0.824,0.2742,0.25,3.2961,95,80940,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_spf0p9_decoupled__feat_gok_gespannt__predobstrain
4.3972,2.499,2.8445,1.1554,0.4039,0.325,3.3005,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_pr52xcorr__predobstrain
5.0809,2.4509,2.4694,0.8865,0.2988,0.25,3.3868,199,16517,TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__predobstrain
4.3532,2.3353,2.3624,1.0315,0.2391,0.19,3.4307,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p52x__predobstrain
5.1453,2.6353,2.6592,0.8613,0.2391,0.19,3.5741,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1x_p52l__predobstrain
3.9221,2.0321,2.0595,0.7816,0.2756,0.21,3.5905,104,88608,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_random90_decoupled__feat_hydroraum__predobstrain
3.2261,1.5922,1.6103,0.8064,0.2391,0.19,3.6121,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_gok_gespannt_perc5_52ho__predobstrain
6.2991,3.222,3.4699,1.3737,0.4039,0.325,3.6766,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_fok__predobstrain
6.1883,3.2035,3.4582,1.3689,0.4039,0.325,3.7234,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_fuk__predobstrain
4.3714,2.3349,2.3557,0.9309,0.2391,0.19,3.7827,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1l_p1x__predobstrain
6.5658,3.3371,3.5869,1.5171,0.4039,0.325,3.7874,52,444992,GRU_FCOV_oracle_rmd90_test52__oracle_feat__siwa_hr_gesp_fok_fuk__predobstrain
4.0898,2.3698,2.3916,0.9654,0.2391,0.19,3.8592,52,44304,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_test52_decoupled__feat_hr_gespannt_p1x__predobstrain
4.5201,2.3279,2.3472,0.916,0.2797,0.24,3.9217,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t002__predobstrain
4.5097,2.3261,2.3448,0.9373,0.2797,0.24,3.9232,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t011__predobstrain
4.5127,2.3274,2.345,0.9324,0.2797,0.24,3.9317,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t001__predobstrain
4.508,2.3263,2.3443,0.9401,0.2797,0.24,3.9328,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t011__predobstrain
4.5226,2.3303,2.3484,0.9124,0.2797,0.24,3.9441,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t005__predobstrain
4.5074,2.3273,2.3425,0.9189,0.2797,0.24,3.9576,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t009__predobstrain
4.5161,2.3295,2.3477,0.9219,0.2797,0.24,3.9594,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t007__predobstrain
4.5057,2.3247,2.3422,0.9244,0.2797,0.24,3.971,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t008__predobstrain
4.7485,2.4955,2.5102,1.0964,0.2797,0.24,4.1457,199,169548,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t008__predobstrain
4.5048,2.3224,2.3375,0.8935,0.2797,0.24,4.1543,199,169548,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__cmp_gru_skl__predobstrain
