trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr
1,gru_small_grid_v2_t001_seed40_full_merged,ok,0.23039487493551186,2459.916,251.112,2711.056,,0.2,192,4,0.0003
2,gru_small_grid_v2_t002_seed40_full_merged,ok,0.26514026116806644,1241.874,244.945,1486.823,,0.2,224,2,0.0002
3,gru_small_grid_v2_t003_seed40_full_merged,ok,0.22808718696181166,2313.834,237.365,2551.202,,0.2,192,3,0.0003
4,gru_small_grid_v2_t004_seed40_full_merged,ok,0.23113950945869108,530.461,264.335,794.8,,0.2,256,2,0.0005
5,gru_small_grid_v2_t005_seed40_full_merged,ok,0.2290918360569006,1271.852,234.376,1506.231,,0.2,256,4,0.0002
6,gru_small_grid_v2_t006_seed40_full_merged,ok,0.23310203238761926,519.448,227.938,747.389,,0.2,224,3,0.0005
7,gru_small_grid_v2_t007_seed40_full_merged,ok,0.23167766876717544,724.218,232.056,956.277,,0.2,256,3,0.0004
8,gru_small_grid_v2_t008_seed40_full_merged,ok,0.26109701081968034,635.646,222.259,857.908,,0.2,256,2,0.0003
9,gru_small_grid_v2_t009_seed40_full_merged,ok,0.25755119516167646,840.4,230.52,1070.923,,0.2,224,4,0.0004
10,gru_small_grid_v2_t010_seed40_full_merged,ok,0.26846070762437113,526.443,221.701,748.147,,0.2,256,2,0.0004
11,gru_small_grid_v2_t011_seed40_full_merged,ok,0.23645364594202725,795.993,227.525,1023.522,,0.2,256,3,0.0005
12,gru_small_grid_v2_t012_seed40_full_merged,ok,0.24284490377857257,2413.864,284.898,2698.765,,0.2,192,4,0.0004
