trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,horizon,NSE,RMSE,MAE,rMBE,metrics_found
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,3.0,,0.14498135045648305,0.04705334170486832,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,4.0,,0.15269287877258556,0.05325371298908634,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,5.0,,0.15969964314618978,0.058792707923592064,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,6.0,,0.166001187036148,0.06379434208421443,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,7.0,,0.1721872561858376,0.06845789702601214,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,8.0,,0.17817350869983725,0.07281716046429296,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,9.0,,0.1839478277662189,0.07682732767155363,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,10.0,,0.18951282422910903,0.080648542801278,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,11.0,,0.1949541870600135,0.08433995885762288,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,12.0,,0.20028243705810625,0.08781096260248564,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,13.0,,0.2055162686168865,0.09119256025985324,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,14.0,,0.21078520182686483,0.09450672086530745,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,15.0,,0.2161299666252419,0.0977967777187555,,True
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,16.0,,0.22161636178595082,0.1011860768834813,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,1.0,,0.13836743344081057,0.030839110173263108,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,2.0,,0.14891720866873395,0.040287390617799915,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,3.0,,0.15665165893548672,0.047383332999581626,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,4.0,,0.16390347767500943,0.05365658040194784,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,5.0,,0.17024334834627336,0.05905354012107091,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,6.0,,0.1759289432167189,0.06388249484737618,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,7.0,,0.1815316270494693,0.06836034426710821,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,8.0,,0.18703202091420681,0.0725481645441834,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,9.0,,0.19237295656570752,0.07643835019863518,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,10.0,,0.19754551118605257,0.08013218540738885,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,11.0,,0.20263298142635633,0.08368437848031586,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,12.0,,0.2076751405570611,0.08708683078756559,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,13.0,,0.21265358865736608,0.09040082907950342,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,14.0,,0.21770082424766615,0.09370670897853549,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,15.0,,0.22283749558262736,0.09701276955983264,,True
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,16.0,,0.22808718696181166,0.10038405657635296,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,1.0,,0.14433338060148213,0.032805390178250016,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,2.0,,0.1616258610723243,0.04307598298531392,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,3.0,,0.17563752762130255,0.05105615670868057,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,4.0,,0.18761415203226153,0.05808995485371137,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,5.0,,0.1972550268042702,0.06430527312009228,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,6.0,,0.20524095275695223,0.06992226078900844,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,7.0,,0.21250957068448711,0.07508212660437649,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,8.0,,0.21916035180227908,0.07984395281252246,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,9.0,,0.22527546998837664,0.08423834183156745,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,10.0,,0.2309384762661875,0.08836867220749223,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,11.0,,0.2362258500591721,0.09232895127063738,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,12.0,,0.24116927224720977,0.09600814622374543,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,13.0,,0.24577368192438695,0.09947464563059788,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,14.0,,0.25013165427838074,0.10275315277234665,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,15.0,,0.25430700628655556,0.1058582262115337,,True
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,16.0,,0.2583570009002858,0.1089070427422879,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,1.0,,0.12719480592807325,0.03047971853322336,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,2.0,,0.1396037171486437,0.040045976547440715,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,3.0,,0.15013354833475573,0.04832997813947169,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,4.0,,0.16006021734094683,0.055613805209838794,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,5.0,,0.1690481923231657,0.06190350201552166,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,6.0,,0.17719380022432948,0.0675145817271649,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,7.0,,0.18520674731264863,0.07270997964719492,,True
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,8.0,,0.19302963295320033,0.07761968811407047,,True
