trial,run_sig,objective,NSE_mean_h1_16,NSE_h16_plotstyle,RMSE_h16_plotstyle,MAE_h16_plotstyle,hp.model.gru_layers,hp.model.gru_hidden,hp.model.gru_dropout,hp.training.lr
3,gru_small_grid_v1_t003_seed40_full_merged,0.2216163617859508,0.85221178702371,0.7548770892589388,0.08900434468994174,0.06999069478088643,2,192,0.2,0.0003
4,gru_small_grid_v1_t004_seed40_full_merged,0.2280871869618116,0.8548802320936884,0.7543364393040601,0.08981838517031716,0.07155419221688143,3,192,0.2,0.0003
8,gru_small_grid_v1_t008_seed40_full_merged,0.2467344039296694,0.8443019686264369,0.7317612584761468,0.09280138676935062,0.07336211101317303,3,96,0.1,0.001
2,gru_small_grid_v1_t002_seed40_full_merged,0.2521911479899351,0.8375361503541456,0.729005979490315,0.09363711696858842,0.07530329650614685,3,128,0.1,0.0001
6,gru_small_grid_v1_t006_seed40_full_merged,0.2460797094768265,0.8329579168841913,0.7117635827433375,0.09406520340389558,0.07546042570304044,2,128,0.1,0.0001
1,gru_small_grid_v1_t001_seed40_full_merged,0.2513870982778711,0.8383496995274303,0.7241574719429844,0.09408205821673077,0.07425441989650974,2,96,0.3,0.0001
10,gru_small_grid_v1_t010_seed40_full_merged,0.2239165263514372,0.8403176685430512,0.7307964547012017,0.09465413799192925,0.07584281194777716,2,96,0.2,0.0001
5,gru_small_grid_v1_t005_seed40_full_merged,0.2583570009002858,0.835101861650317,0.7228434431912665,0.0958009445333568,0.07558850705365598,2,96,0.2,0.001
11,gru_small_grid_v1_t011_seed40_full_merged,0.2188875408310781,0.829274651294502,0.7254338831467964,0.09614335011034,0.07557716204490496,2,192,0.3,0.001
12,gru_small_grid_v1_t012_seed40_full_merged,0.2342922749136698,0.8344474359098487,0.7274474991160955,0.09647438977662051,0.07667993983149013,2,192,0.2,0.001
7,gru_small_grid_v1_t007_seed40_full_merged,0.2628401879270396,0.8096093476469459,0.6940776748278998,0.09802350761178091,0.07832774042567134,3,192,0.2,0.001
9,gru_small_grid_v1_t009_seed40_full_merged,0.2610403877080315,0.8221720648517161,0.7031200058275748,0.10019506879717449,0.07937816933636026,1,128,0.3,0.0001
