tag,nRMSE,nRMSE_pw
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s100_p2000_rs46__predobstrain,0.1645382814356846,4.147979324271075
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s100_p512_rs42__predobstrain,0.12986671526573157,3.235809122095033
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s100_p512_rs43__predobstrain,0.2864410308898794,3.6471785479624326
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s100_p512_rs44__predobstrain,0.11947667302414094,3.1224189255090318
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s100_p512_rs45__predobstrain,0.15929236273259717,3.191876990095354
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s100_p512_rs46__predobstrain,0.16488605203853532,4.203921100585388
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p128_rs42__predobstrain,0.12056373379115705,3.491925990881041
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p128_rs43__predobstrain,0.24439100248098425,4.1217358980323215
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p128_rs44__predobstrain,0.11969759567341011,2.7527837593874156
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p128_rs45__predobstrain,0.17291571087375332,3.5341950494411134
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p128_rs46__predobstrain,0.16985102214396078,4.226711711956224
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p2000_rs42__predobstrain,0.15222435407505458,3.2789311328759987
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p2000_rs43__predobstrain,0.32509724814082347,3.888230503738891
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p2000_rs44__predobstrain,0.11949763232526557,3.5400777613833183
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p2000_rs45__predobstrain,0.1769549118955315,3.5320149755396106
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p2000_rs46__predobstrain,0.1615306198841741,4.204299604485431
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p512_rs42__predobstrain,0.14130467452984544,3.243968015813381
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p512_rs43__predobstrain,0.2989775757335127,3.7815218019564103
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p512_rs44__predobstrain,0.11934477210578333,3.166555275024942
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p512_rs45__predobstrain,0.16530132121928512,3.3078077248006688
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s300_p512_rs46__predobstrain,0.1648581940689504,4.363457576635822
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p128_rs42__predobstrain,0.12305534466654472,3.782411425651879
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p128_rs43__predobstrain,0.23776590488135246,4.262119112352444
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p128_rs44__predobstrain,0.11968302101491048,2.896187635984304
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p128_rs45__predobstrain,0.1784157803056015,3.7709141368118546
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p128_rs46__predobstrain,0.1721428477517967,4.243301960870095
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p2000_rs42__predobstrain,0.17381949541385383,3.3552583166306915
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p2000_rs43__predobstrain,0.35170408737602404,3.7152294800849788
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p2000_rs44__predobstrain,0.12018306857046639,3.594646451703177
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p2000_rs45__predobstrain,0.2028500589600646,3.855928985116233
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p2000_rs46__predobstrain,0.15933851091034304,4.462228432976213
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p512_rs42__predobstrain,0.1448020402611349,3.389029930537628
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p512_rs43__predobstrain,0.29507827858550456,3.880302875433226
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p512_rs44__predobstrain,0.1193115782837792,3.27126382026596
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p512_rs45__predobstrain,0.16879686630980767,3.4219460477990373
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pretrain_check_s500_p512_rs46__predobstrain,0.16648901652901707,4.305268201719596
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p128_rs42__predobstrain,0.12056373379115705,3.491925990881041
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p128_rs43__predobstrain,0.24439100248098425,4.1217358980323215
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p128_rs44__predobstrain,0.11969759567341011,2.7527837593874156
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p128_rs45__predobstrain,0.17291571087375332,3.5341950494411134
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p128_rs46__predobstrain,0.16985102214396078,4.226711711956224
GRU_FCOV_in52_out16_ep50_bs4096_seed47_coloc_rand90_f90_ss42__pts_sweep_p256_rs42__predobstrain,0.12255098995303798,3.8891154146097104
