lr,split_seed,nRMSE,status
0.001,42,0.12305534466654472,ok
0.001,43,0.23776590488135246,ok
0.001,44,0.11968302101491048,ok
0.001,45,0.1784157803056015,ok
0.001,46,0.1721428477517967,ok
0.01,42,0.18671128074915871,ok
0.01,43,0.1826620712535957,ok
0.01,44,0.16152237348974377,ok
0.01,45,0.24611532982879405,ok
0.01,46,0.19838821744788654,ok
