run_number,objective,elapsed_s,model_prefix,RMSE_pooled,nRMSE,NSE_pooled,NSE_id_median,MAE_pooled,backend,n_inducing,pretrain_steps,jitter,max_pretrain_pts,variational_lr,hpo_name,trial,gru_run_sig,gp_run_tag,split,dir_name
63,0.4149407055927726,31.416,GRU_FCOV,8.937822798468321,0.4149407055927726,0.8483855119311827,-437.04787555738784,5.513965795922205,gpytorch,128.0,0.0,0.001,128.0,0.01,gp_gpytorch_hpo_v1,12.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t012,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t012__predobstrain
64,13.810965521140208,,,13.810965521140208,0.6530007338600572,0.6379887372800992,,8.95843907791121,,,,,,,,,in52_out16_ep50_bs4096_stat1_seed40_full_merged,smoke_nsecheck,predobstrain,in52_out16_ep50_bs4096_stat1_seed40_full_merged__smoke_nsecheck__predobstrain
65,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t001,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t001__predobstrain
66,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t002,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t002__predobstrain
67,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t003,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t003__predobstrain
68,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t004,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t004__predobstrain
69,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t005,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t005__predobstrain
70,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t006,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t006__predobstrain
71,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t007,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t007__predobstrain
72,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t008,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t008__predobstrain
73,,,GRU_FCOV,,,,,,,,,,,,,,in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42,gp_stability_v1_t009,predobstrain,GRU_FCOV_in52_out16_ep50_bs4096_seed40_full_merged_r1_spf0p8_sc20_ss42__gp_stability_v1_t009__predobstrain
74,,,TFT,,,,,,,,,,,,,,in52_out16_ep50_bs4096_stat1_seed40_full_merged,gp_pytorch_matern32,predobstrain,TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__gp_pytorch_matern32__predobstrain
