run_number,objective,elapsed_s,model_prefix,RMSE_pooled,nRMSE,NSE_pooled,NSE_id_median,MAE_pooled,backend,n_inducing,pretrain_steps,jitter,max_pretrain_pts,variational_lr,hpo_name,trial,gru_run_sig,gp_run_tag,split,dir_name
14,0.2276343438622362,126.108,GRU_FCOV,4.903243766792568,0.22763434386223622,0.9543706593159651,-28.203982891106662,2.4449748750383327,gpytorch,64.0,200.0,0.0001,512.0,0.01,gp_gpytorch_hpo_v3,1.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t001,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t001__predobstrain
15,0.2371833648854227,61.299,GRU_FCOV,5.1089296796320065,0.23718336488542277,0.950462159132507,-42.370953723953335,2.69135211727928,gpytorch,64.0,500.0,0.0001,512.0,0.01,gp_gpytorch_hpo_v3,7.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t007,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t007__predobstrain
16,0.2372772119709849,43.952,GRU_FCOV,5.110951145855014,0.2372772119709849,0.9504229497914021,-45.851243149612344,2.7951257998936736,gpytorch,64.0,200.0,0.0001,512.0,0.001,gp_gpytorch_hpo_v3,2.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t002,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t002__predobstrain
17,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t008,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t008__predobstrain
18,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t007,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t007__predobstrain
19,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t006,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t006__predobstrain
20,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t005,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t005__predobstrain
21,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t003,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t003__predobstrain
22,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t002,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t002__predobstrain
23,5.209706036276161,,GRU_FCOV,5.209706036276161,0.24186193297475217,0.9484885635808555,-45.87497925632553,2.868013773408837,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_stability_v1_t001,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_stability_v1_t001__predobstrain
24,5.216067154430713,,GRU_FCOV,5.216067154430713,0.2421572495093182,0.9483626945295355,-48.723772056325885,2.8761506577581146,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_oracle_diag_p100,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_oracle_diag_p100__predobstrain
25,5.216067154430713,,GRU_FCOV,5.216067154430713,0.2421572495093182,0.9483626945295355,-48.723772056325885,2.8761506577581146,,,,,,,,,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_oracle_diag_p0,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_oracle_diag_p0__predobstrain
26,0.244672545462298,37.592,GRU_FCOV,5.270246629257898,0.244672545462298,0.9472844063019278,-48.9566955247151,2.9199099867274283,gpytorch,64.0,100.0,0.0001,512.0,0.001,gp_gpytorch_hpo_v3,4.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v3_t004,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v3_t004__predobstrain
27,5.080923096944585,,TFT,5.080923096944585,0.1994082848094421,0.9458582332388655,-18.920393445558513,2.450851317395272,,,,,,,,,in52_out16_ep50_bs4096_stat1_seed40_full_merged,predobstrain,,TFT_in52_out16_ep50_bs4096_stat1_seed40_full_merged__predobstrain
28,5.134,,,5.134,0.202,0.945,,2.552,,,,,,,,,in52_out16_ep50_bs4096_stat1_seed9898_full_merged,,,in52_out16_ep50_bs4096_stat1_seed9898_full_merged
29,0.2526086729259357,32.336,GRU_FCOV,5.441190814824655,0.2526086729259357,0.9438092102277338,-50.62346838994233,3.043883429763158,gpytorch,128.0,0.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v2,9.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v2_t009,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v2_t009__predobstrain
