in_len,out_len,statics,epochs,seed,train_s,eval_s,ok,rmse_h4,skill_h1,skill_h2,skill_h3,skill_h4
52,16,True,1,40,2798.123,46.505,True,0.06400000303983688,-0.2631158672023721,0.05089943926259932,0.17683370883037808,0.24347185979277475
52,16,True,1,94,2713.677,443.681,True,0.06400000303983688,-0.278137340267647,0.04778814012230481,0.1770986102542208,0.24327828906494608
52,16,True,1,673,2787.926,390.785,True,0.06599999964237213,-0.19125700465715312,0.07022695255696598,0.1794229114668744,0.23603755573955643
52,16,True,1,2230,2783.927,390.886,True,0.06499999761581421,-0.2731468305406404,0.04544495602273568,0.17668541984524055,0.24236721831400343
52,16,True,1,9595,2782.291,385.513,True,0.06599999964237213,-0.2328345524237314,0.06132382654887569,0.1828595893756465,0.24449468360932858
52,16,True,1,2100,2811.325,377.666,True,0.06800000369548798,-0.18672836352924183,0.05103763576935738,0.15773312348551383,0.21597316493839636
52,16,True,1,1899,2778.17,443.865,True,0.06499999761581421,-0.253907642885687,0.04668008006984681,0.1749146802261825,0.2424509738725884
52,16,True,1,9898,2742.677,464.866,True,0.06800000369548798,-0.23076143423915862,0.03615057822597534,0.15652579135411393,0.22045754988154076
52,16,True,1,6013,2781.28,437.777,True,0.06300000101327896,-0.21132210974071253,0.06222655647552988,0.18298154200462602,0.2436664998384901
52,16,True,1,2149,2754.292,477.044,True,0.06499999761581421,-0.16688571422043896,0.06291830139095067,0.1725020315234429,0.23452160736189576
52,16,True,50,94,134026.305,583.139,True,0.05000000074505806,-0.038584671739139154,0.15081508121187337,0.23498370189901807,0.2902504111397781
52,16,True,50,2100,137371.613,391.116,True,0.05250000022351742,-0.018625510009809387,0.14323589288336358,0.20868398652985654,0.2611568551180571
52,16,True,50,2230,137794.358,379.665,True,0.05000000074505806,0.012720453902470674,0.1637506105287968,0.21291824711675555,0.25757434622531217
52,16,True,50,1899,137858.714,487.323,True,0.05000000074505806,-0.022696365272041996,0.16970479236380498,0.23316319279340292,0.27946489073596537
52,16,True,50,9595,138051.85,383.116,True,0.050999999046325684,-0.02367176786812686,0.16880033921793525,0.21688329571650422,0.26172184889014183
52,16,True,50,673,138309.001,380.06,True,0.05000000074505806,-0.024493168610240312,0.15691741052549435,0.23263096422869833,0.2829099092052795
52,16,True,50,2149,138513.337,438.62,True,0.050999999046325684,-0.02558109141699294,0.1522634856847942,0.22089937811107674,0.27684772609637387
52,16,True,50,9898,138840.856,480.672,True,0.05000000074505806,-0.06160233380655811,0.1422247497501381,0.229181635306544,0.2888798555093891
52,16,True,50,6013,139095.438,432.866,True,0.04899999871850014,-0.009235425910890438,0.16909014639550646,0.2394893359426974,0.2903471091903328
10,4,True,1,40,,,False,,,,,
10,4,True,1,40,72.508,62.487,True,0.11100000143051147,-1.1134199150449424,-0.4954088369428318,-0.29493614914743027,-0.20551757805251958
52,16,True,1,40,,,False,0.06400000303983688,-0.2631158672023721,0.05089943926259932,0.17683370883037808,0.24347185979277475
52,16,True,1,40,1314.957,36.053,True,0.06400000303983688,-0.2631158672023721,0.05089943926259932,0.17683370883037808,0.24347185979277475
