id,is_outlier,mae,rmse,bias,n_obs_full,gws_iqr_full
LFU_27390101,True,32.716654088446816,32.71696042719927,-32.716654088446816,1182,0.29999999999999716
LFU_38525106,True,27.848897977492612,27.849201225020835,27.848897977492612,954,0.7575000000000074
LFU_37532730,True,23.23903449479075,23.23958650360949,-23.23903449479075,2797,0.18999999999999773
LFU_38501758,True,21.589356056872038,21.596562425632666,-21.589356056872038,1874,0.9399999999999977
LFU_38501726,True,16.01080082514252,16.012700328474192,-16.01080082514252,2097,1.0600000000000023
LFU_32492085,True,13.973857655230287,13.974462258103479,-13.973857655230287,1291,0.8200000000000074
LFU_30481528,True,13.41441042665033,13.415698256983083,-13.41441042665033,1273,0.4099999999999966
LFU_44526143,True,12.821702733502311,12.823840749071014,-12.821702733502311,1123,0.5100000000000051
LFU_33502241,True,11.722513052871605,11.723317577685794,11.722513052871605,2840,1.042500000000004
LFU_28370020,True,10.28914143535411,10.291718501058531,-10.28914143535411,1208,0.46999999999999886
LFU_26490028,True,10.071078537805418,10.076633718699147,-10.071078537805418,1233,0.75
LFU_30380005,True,9.33903539461128,9.346290472535697,9.33903539461128,1218,0.490000000000002
LFU_38413421,False,8.794085140476893,8.795344359940618,8.794085140476893,2392,0.2924999999999969
LFU_34522495,False,8.578578704205116,8.57883942068601,8.578578704205116,1582,0.25
LFU_29370009,False,8.142610247922608,8.1498751729618,-8.142610247922608,2679,0.9899999999999949
LFU_38540249,False,7.875430821892468,7.886875704994082,-7.875430821892468,1963,0.7550000000000026
LFU_40525009,False,6.282118223835897,6.300423734834473,-6.282118223835897,1409,0.8400000000000034
LFU_34505031,False,6.157242938158394,6.158450196549096,-6.157242938158394,1105,0.21000000000000085
LFU_31490600,False,5.8009013479377645,5.803279818167053,-5.8009013479377645,2428,0.9824999999999982
LFU_38413441,False,5.752342359907809,5.752552109371895,5.752342359907809,1401,0.5
LFU_28443405,False,5.741366280382712,5.765943760261733,-5.741366280382712,935,0.9849999999999994
LFU_32481966,False,5.589518200416841,5.589873838964682,5.589518200416841,1116,0.36999999999999744
LFU_27400050,False,5.418443884747375,5.430414676855349,5.418443884747375,2450,0.3774999999999977
LFU_29490617,False,5.25028263506408,5.252773353253407,-5.25028263506408,3658,0.6400000000000006
LFU_40536003,False,5.064954618829069,5.0670522638624975,-5.064954618829069,1197,0.8700000000000045
LFU_25496025,False,4.9275832459685,4.930202579534443,-4.9275832459685,1428,0.5300000000000011
LFU_36413850,False,4.650298708634129,4.651662484681528,-4.650298708634129,2536,1.1099999999999994
